zip,date,predicted_price,model_used
20007,2027-04-30,1287449.0449285633,linear
20007,2027-05-31,1291198.5304477941,linear
20007,2027-06-30,1294529.0775131788,linear
20007,2027-07-31,1296974.3613862558,linear
20007,2027-08-31,1298790.3332862558,linear
20007,2027-09-30,1300653.749143948,linear
20007,2027-10-31,1303146.2330017518,linear
20007,2027-11-30,1305782.1535937518,linear
20007,2027-12-31,1308445.8863017517,linear
20008,2026-01-31,878600.191682155,linear
20008,2026-02-28,880783.1743475397,linear
20008,2026-03-31,883259.2761283088,linear
20008,2026-04-30,885986.637359078,linear
20008,2026-05-31,888367.5053398474,linear
20008,2026-06-30,890369.2564398474,linear
20008,2026-07-31,891842.8910283089,linear
20008,2026-08-31,892874.233778309,linear
20008,2026-09-30,893979.1404590781,linear
20008,2026-10-31,897199.303336306,linear
20008,2026-11-30,899035.418340306,linear
20008,2026-12-31,900859.558692306,linear
20008,2027-01-31,898569.5849199954,linear
20008,2027-02-28,900752.56758538,linear
20008,2027-03-31,903228.6693661493,linear
20008,2027-04-30,905956.0305969185,linear
20008,2027-05-31,908336.8985776878,linear
20008,2027-06-30,910338.6496776878,linear
20008,2027-07-31,911812.2842661494,linear
20008,2027-08-31,912843.6270161495,linear
20008,2027-09-30,913948.5336969186,linear
20008,2027-10-31,917168.6965741464,linear
20008,2027-11-30,919004.8115781465,linear
20008,2027-12-31,920828.9519301464,linear
20009,2026-01-31,578929.973735906,arima
20009,2026-02-28,578932.2111952732,arima
20009,2026-03-31,578932.4227780101,arima
20009,2026-04-30,578932.4427860851,arima
20009,2026-05-31,578932.4446781253,arima
20009,2026-06-30,578932.4448570439,arima
20009,2026-07-31,578932.4448739631,arima
20009,2026-08-31,578932.444875563,arima
20009,2026-09-30,578932.4448757144,arima
20009,2026-10-31,578932.4448757287,arima
20009,2026-11-30,578932.4448757301,arima
20009,2026-12-31,578932.4448757302,arima
20009,2027-01-31,578932.4448757302,arima
20009,2027-02-28,578932.4448757302,arima
20009,2027-03-31,578932.4448757302,arima
20009,2027-04-30,578932.4448757302,arima
20009,2027-05-31,578932.4448757302,arima
20009,2027-06-30,578932.4448757302,arima
20009,2027-07-31,578932.4448757302,arima
20009,2027-08-31,578932.4448757302,arima
20009,2027-09-30,578932.4448757302,arima
20009,2027-10-31,578932.4448757302,arima
20009,2027-11-30,578932.4448757302,arima
20009,2027-12-31,578932.4448757302,arima
20010,2026-01-31,830468.9713174142,linear
20010,2026-02-28,832380.8999404912,linear
20010,2026-03-31,834532.4706251065,linear
20010,2026-04-30,836887.8874020295,linear
20010,2026-05-31,838804.1927635681,linear
20010,2026-06-30,840464.4628097219,linear
